Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-08-13,17:45,Coppa Italia,First round,Sun,Home,W,1.0,0.0,Ternana,,,60.0,9248.0,Antonio Candreva,3-4-3,Antonio Giua,Match Report,
2023-08-20,18:30,Serie A,Matchweek 1,Sun,Away,D,2.0,2.0,Roma,0.1,1.9,40.0,62050.0,Federico Fazio,3-4-3,Ermanno Feliciani,Match Report,
2023-08-28,18:30,Serie A,Matchweek 2,Mon,Home,D,1.0,1.0,Udinese,0.5,0.8,56.0,20000.0,Antonio Candreva,3-4-3,Davide Massa,Match Report,
2023-09-03,20:45,Serie A,Matchweek 3,Sun,Away,L,0.0,2.0,Lecce,1.1,1.7,54.0,28052.0,Antonio Candreva,3-4-3,Luca Massimi,Match Report,
2023-09-18,18:30,Serie A,Matchweek 4,Mon,Home,L,0.0,3.0,Torino,0.7,1.8,56.0,15480.0,Antonio Candreva,3-4-3,Antonio Giua,Match Report,
2023-09-22,18:30,Serie A,Matchweek 5,Fri,Home,D,1.0,1.0,Frosinone,1.1,0.7,50.0,16217.0,Antonio Candreva,3-4-3,Marco Piccinini,Match Report,
2023-09-27,18:30,Serie A,Matchweek 6,Wed,Away,L,0.0,1.0,Empoli,0.6,3.2,58.0,7979.0,Antonio Candreva,3-4-3,Antonio Rapuano,Match Report,
2023-09-30,20:45,Serie A,Matchweek 7,Sat,Home,L,0.0,4.0,Inter,0.6,2.3,36.0,28085.0,Norbert Gyömbér,3-4-3,Rosario Abisso,Match Report,
2023-10-08,12:30,Serie A,Matchweek 8,Sun,Away,L,0.0,3.0,Monza,0.6,2.8,43.0,12494.0,Antonio Candreva,3-4-3,Luca Massimi,Match Report,
2023-10-22,15:00,Serie A,Matchweek 9,Sun,Home,D,2.0,2.0,Cagliari,1.5,1.7,49.0,17409.0,Federico Fazio,4-3-2-1,Daniele Chiffi,Match Report,
2023-10-27,20:45,Serie A,Matchweek 10,Fri,Away,L,0.0,1.0,Genoa,0.6,0.5,49.0,31904.0,Antonio Candreva,3-4-3,Davide Massa,Match Report,
2023-10-31,18:00,Coppa Italia,Second round,Tue,Home,W,4.0,0.0,Sampdoria,,,62.0,4740.0,Giulio Maggiore,4-3-3,Gianluca Manganiello,Match Report,
2023-11-04,15:00,Serie A,Matchweek 11,Sat,Home,L,0.0,2.0,Napoli,0.3,1.4,42.0,16812.0,Federico Fazio,4-2-3-1,Antonio Rapuano,Match Report,
2023-11-10,18:30,Serie A,Matchweek 12,Fri,Away,D,2.0,2.0,Sassuolo,0.8,2.9,37.0,10945.0,Federico Fazio,4-3-3,Davide Ghersini,Match Report,
2023-11-25,15:00,Serie A,Matchweek 13,Sat,Home,W,2.0,1.0,Lazio,1.7,2.0,38.0,16700.0,Antonio Candreva,3-4-3,Alessandro Prontera,Match Report,
2023-12-03,15:00,Serie A,Matchweek 14,Sun,Away,L,0.0,3.0,Fiorentina,0.8,2.5,43.0,26286.0,Federico Fazio,3-4-3,Paride Tremolada,Match Report,
2023-12-10,18:00,Serie A,Matchweek 15,Sun,Home,L,1.0,2.0,Bologna,0.5,2.1,35.0,16700.0,Antonio Candreva,3-5-2,Simone Sozza,Match Report,
2023-12-18,20:45,Serie A,Matchweek 16,Mon,Away,L,1.0,4.0,Atalanta,1.3,1.9,49.0,14264.0,Antonio Candreva,4-3-2-1,Ermanno Feliciani,Match Report,
2023-12-22,20:45,Serie A,Matchweek 17,Fri,Home,D,2.0,2.0,Milan,1.4,2.2,35.0,23467.0,Federico Fazio,4-2-3-1,Daniele Doveri,Match Report,
2023-12-30,18:00,Serie A,Matchweek 18,Sat,Away,W,1.0,0.0,Hellas Verona,0.5,0.8,52.0,18181.0,Federico Fazio,4-1-4-1,Maurizio Mariani,Match Report,
2024-01-04,21:00,Coppa Italia,Round of 16,Thu,Away,L,1.0,6.0,Juventus,,,43.0,40548.0,Vincenzo Fiorillo,4-2-3-1,Davide Ghersini,Match Report,
2024-01-07,18:00,Serie A,Matchweek 19,Sun,Home,L,1.0,2.0,Juventus,0.8,2.0,30.0,40548.0,Federico Fazio,3-5-2,Marco Guida,Match Report,
2024-01-13,15:00,Serie A,Matchweek 20,Sat,Away,L,1.0,2.0,Napoli,0.1,2.2,30.0,35000.0,Federico Fazio,3-4-3,Livio Marinelli,Match Report,
2024-01-21,18:00,Serie A,Matchweek 21,Sun,Home,L,1.0,2.0,Genoa,0.8,1.1,60.0,,Antonio Candreva,4-3-2-1,Daniele Orsato,Match Report,
2024-01-29,20:45,Serie A,Matchweek 22,Mon,Home,L,1.0,2.0,Roma,1.2,1.6,39.0,,Antonio Candreva,3-4-3,Marco Di Bello,Match Report,
2024-02-04,12:30,Serie A,Matchweek 23,Sun,Away,D,0.0,0.0,Torino,0.1,0.8,31.0,,Antonio Candreva,3-4-3,Daniele Chiffi,Match Report,
2024-02-09,20:45,Serie A,Matchweek 24,Fri,Home,L,1.0,3.0,Empoli,0.9,2.2,61.0,,Antonio Candreva,3-4-3,Maurizio Mariani,Match Report,
2024-02-16,21:00,Serie A,Matchweek 25,Fri,Away,L,0.0,4.0,Inter,0.0,3.9,25.0,,Antonio Candreva,3-4-3,Marco Piccinini,Match Report,
2024-02-24,18:00,Serie A,Matchweek 26,Sat,Home,L,0.0,2.0,Monza,0.9,2.4,39.0,,Antonio Candreva,3-4-3,Michael Fabbri,Match Report,
2024-03-02,15:00,Serie A,Matchweek 27,Sat,Away,,,,Udinese,,,,,,,,Head-to-Head,
2024-03-10,,Serie A,Matchweek 28,Sun,Away,,,,Cagliari,,,,,,,,Head-to-Head,
2024-03-17,,Serie A,Matchweek 29,Sun,Home,,,,Lecce,,,,,,,,Head-to-Head,
2024-03-30,,Serie A,Matchweek 30,Sat,Away,,,,Bologna,,,,,,,,Head-to-Head,
2024-04-07,,Serie A,Matchweek 31,Sun,Home,,,,Sassuolo,,,,,,,,Head-to-Head,
2024-04-14,,Serie A,Matchweek 32,Sun,Away,,,,Lazio,,,,,,,,Head-to-Head,
2024-04-21,,Serie A,Matchweek 33,Sun,Home,,,,Fiorentina,,,,,,,,Head-to-Head,
2024-04-28,,Serie A,Matchweek 34,Sun,Away,,,,Frosinone,,,,,,,,Head-to-Head,
2024-05-05,,Serie A,Matchweek 35,Sun,Home,,,,Atalanta,,,,,,,,Head-to-Head,
2024-05-12,,Serie A,Matchweek 36,Sun,Away,,,,Juventus,,,,,,,,Head-to-Head,
2024-05-19,,Serie A,Matchweek 37,Sun,Home,,,,Hellas Verona,,,,,,,,Head-to-Head,
2024-05-26,,Serie A,Matchweek 38,Sun,Away,,,,Milan,,,,,,,,Head-to-Head,
